HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.257806093036127
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,10.987239978297215
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,11.285347094365907
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.3746544088517
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.643469143597118
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.699038732975398
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.563187492697292
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.851288769537657
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.581593877265266
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,12.888095681587185
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,12.151510857537492
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,11.589553117205119
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.494307065410025
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,11.921332906832516
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,12.923263447643553
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,11.961686305384813
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.351967914458436
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.06911965638402
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.52320345501019
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.219255370326987
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.47963931273642
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,11.956020277658746
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,11.950321963037172
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,11.548900532092818
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.644582382705138
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,12.556975965645655
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,12.479266519061989
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,11.551973086220894
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,12.614480087392462
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,11.653069942864997
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,12.643469143597118
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,12.553855673297253
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.344660647666005
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.472509375472486
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.357690119499075
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.734291437326675
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,12.541279796553658
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.4023053257368
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,12.438025282665697
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.000468132113847
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.796170207017076
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,11.769140089875304
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.58462893708112
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.409552119949653
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,12.000468132113847
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,11.486016648413012
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.596677890731314
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,12.76188693118902
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.240686610046222
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,13.01009461018564
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,11.08959165831958
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,12.84466067828827
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,12.146826760319465
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,910,12.201637826240061
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,12.569360674739151
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.80191976610897
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,12.479266519061989
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.000468132113847
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,1035,13.089984803340307
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,12.3746544088517
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.170030874182908
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,12.420324785138387
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,11.762266836943965
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.90352732692958
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.223612911694648
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.897520976773169
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.84466067828827
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.098743526777502
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.37049747183795
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,10.928668563118356
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,11.42026178010681
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.967621189337226
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.365266302432104
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.26032406036209
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.738778149372832
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,12.749114701955978
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,10.774508914962748
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.465710118756174
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.696332230675697
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.365266302432104
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,12.808983253744795
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,12.201637826240061
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,12.05596461650085
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.048225140858627
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,12.677178791780616
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,13.231257243421219
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,12.27447400877728
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.286795122108467
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.285347094365907
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.274173229472865
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.123071399026768
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.259902470203054
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.253595340132641
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.786115533768573
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.214397894276164
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.59966758106785
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,12.59966758106785
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,12.699038732975398
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.705774630386225
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.482628045510205
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.938826986417865
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,12.825791238487056
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,12.019315265000934
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.614480087392462
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.438025282665697
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.266174777931607
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.286795122108467
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,11.583803225603665
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.043030049531263
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,10.959922762305052
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.383959383034016
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,12.956589745338999
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,12.806558883954699
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,12.804128622308795
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.876846397113226
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,12.84932029680269
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,10.879875708458863
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,11.593647941548522
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.860881723321674
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,12.043030049531263
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.677178791780616
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,12.751682231533106
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,12.302986084881335
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,12.777001343365509
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,12.445018677347818
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.23227144033159
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.653069942864997
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,12.455417914065778
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.801692440099783
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,12.383959383034016
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,12.590671560956952
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.3384946730367
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.97292294930522
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.999927548393138
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,12.048225140858627
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,12.916762548783247
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.3384946730367
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.23227144033159
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.58462893708112
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.078841365454132
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,13.104504859103015
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.262873097098801
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.522108911478483
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.71278401254773
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.413155918217868
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,12.49926824054369
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,12.005888498350874
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.11583607318485
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,12.828169482315069
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.685432369699933
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.629079657489251
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,12.916762548783247
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.257806093036127
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.989538454196522
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,12.455417914065778
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.801692440099783
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.504036071124311
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,13.063682864582761
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,12.725708346346588
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.07380331331513
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.132641367444291
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.021975513334768
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,12.455417914065778
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,13.014047387520858
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.940395358108628
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,12.170030874182908
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.653069942864997
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.266174777931607
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,12.825791238487056
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.964504142488845
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,12.420324785138387
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.395005631911781
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,12.538110062861273
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,12.637738172007465
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.736180172803948
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,11.034018316772512
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.2365727521785
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.755815597448386
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,11.476976992194007
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.472509375472486
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,12.266174777931607
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.671641455485796
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,12.62472376810903
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.725708346346588
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.083854162805563
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.69081220247407
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.97292294930522
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.209655869176734
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,12.132641367444291
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.259902470203054
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,12.223612911694648
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,12.38024861693771
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.174607777899595
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,11.22818572627257
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.59883231663956
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,12.240855641952603
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,11.005028880710118
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.725708346346588
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,11.796170207017076
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,12.160813739124558
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,12.725708346346588
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.05339338263787
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,12.207177035467046
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,12.93826985160017
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,13.229668600891511
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,11.882777212265523
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,12.93826985160017
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.83539294837897
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.227951547248615
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.671641455485796
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.564654164555177
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,12.005888498350874
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,11.748376961818357
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,12.614480087392462
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,10.967577407165814
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.979942302668412
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,12.223612911694648
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.318126386665162
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.2365727521785
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.08884195730186
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.54601385829013
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.120667250987378
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.413155918217868
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.8723110095329
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.005888498350874
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,160,10.959922762305052
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.240855641952603
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,12.805345864430583
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,13.113473983558412
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.430982635772097
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.733572478780559
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.777001343365509
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,12.837626297535111
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,11.318126386665162
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,11.921332906832516
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.10854250343196
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.150110574610103
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.068739750629074
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,11.512925464970229
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.873128179004302
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.890330432244202
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.96732041003281
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,13.048934251705282
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,12.801692440099783
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,11.613847143551201
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,11.564654164555177
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,213,11.192251771557805
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.50912104886242
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.027280851786465
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,12.448497119448882
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,12.098743526777502
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.32679801494068
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,12.657654506155406
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.409552119949653
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.455417914065778
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.339405064129343
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.54758572714582
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.339405064129343
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,12.84932029680269
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.78948086495026
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.334610968503377
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,12.021975513334768
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,1448,11.653069942864997
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.637564941423099
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.736180172803948
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1313,12.479266519061989
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.59966758106785
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.270333002983815
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,12.016641878076122
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.240855641952603
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,10.959922762305052
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,2092,12.614480087392462
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.438025282665697
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,2003,5,907,12.07380331331513
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,12.3384946730367
